Violation Type,Accurate,Display img(without .jpg),"lat, long",Date (YYYY-MM-DD)
Tree,97,860,"24.75351,46.66923",11/14/2022
Tree,98,865,"24.75355,46.66921",11/14/2022
Tree,99,890,"24.75357,46.66919",11/14/2022
Tree,95,1010,"24.7536,46.66918",11/14/2022
Tree,98,1015,"24.75362,46.66917",11/14/2022
Tree,98,1080,"24.75365,46.66915",11/14/2022
Tree,98,1295,"24.75367,46.66914",11/14/2022
Tree,94,1300,"24.75368,46.66913",11/14/2022
Tree,99,1360,"24.7537,46.66911",11/14/2022
Tree,99,1365,"24.75383,46.66904",11/14/2022
Tree,99,1370,"24.73564,46.65056",11/14/2022
Tree,96,1420,"24.73577,46.65049",11/14/2022
Tree,97,1425,"24.73603,46.65037",11/14/2022
Tree,99,1430,"24.73771,46.64956",11/14/2022
Tree,95,1470,"24.73775,46.64954",11/14/2022
Tree,99,1475,"24.7378,46.64951",11/14/2022
Tree,95,1480,"24.73785,46.64948",11/14/2022
Tree,96,1485,"24.73792,46.64945",11/14/2022
Tree,91,110,"24.73799,46.64941",11/14/2022
Tree,90,115,"24.73208,46.64937",11/14/2022
Tree,96,120,"24.73816,46.64932",11/14/2022
Tree,93,125,"24.73826,46.64927",11/14/2022
Tree,97,140,"24.75677,46.66303",11/14/2022
Tree,95,145,"24.75675,46.66305",11/14/2022
Tree,92,150,"24.75675,46.66308",11/14/2022
Tree,93,205,"24.75676,46.66311",11/14/2022
Tree,90,210,"24.75703,46.66385",11/14/2022
Tree,96,215,"24.75711,46.66405",11/14/2022
Tree,96,400,"24.75742,46.6648",11/14/2022
Tree,98,405,"24.75747,46.6649",11/14/2022
Tree,95,410,"24.75752,46.66501",11/14/2022
Tree,93,415,"24.75756,46.66512",11/14/2022
Tree,99,475,"24.75773,46.66554",11/14/2022
Tree,99,550,"24.75778,46.66564",11/14/2022
Tree,98,710,"24.75782,46.66575",11/14/2022
Tree,98,715,"24.72786,46.66404",11/14/2022
Tree,99,720,"24.72782,46.66401",11/14/2022
Tree,99,725,"24.7275,46.6639",11/14/2022
Tree,99,730,"24.72728,46.66406",11/14/2022
Tree,99,735,"24.72654,46.66436",11/14/2022
Tree,98,740,"24.63704,46.70375",11/14/2022
Tree,98,745,"24.63683,46.7038",11/14/2022
Tree,98,750,"24.63495,46.7039",11/14/2022
Tree,98,755,"24.63157,46.70429",11/14/2022
Tree,99,760,"24.72552,46.6693",11/14/2022
Tree,99,765,"24.72553,46.66929",11/14/2022
Tree,98,770,"24.72555,46.66927",11/14/2022
Tree,96,775,"24.72561,46.66923",11/14/2022
Tree,91,785,"24.72647,46.66881",11/14/2022
Tree,97,805,"24.72657,46.66876",11/14/2022
Tree,98,810,"24.72678,46.66865",11/14/2022
Tree,98,815,"24.72805,46.66792",11/14/2022
Tree,98,820,"24.72809,46.66789",11/14/2022
Tree,95,825,"24.72812,46.66787",11/14/2022
Tree,98,840,"24.72814,46.66786",11/14/2022
Tree,99,845,"24.72816,46.66784",11/14/2022
Tree,98,850,"24.75185,46.66995",11/14/2022
Tree,99,885,"24.75175,46.67",11/14/2022
Tree,99,890,"24.75156,46.67008",11/14/2022
Tree,99,895,"24.62823,46.70947",11/14/2022
Tree,99,910,"24.62833,46.70946",11/14/2022
